data,event-type,id,key,name,probable-cause,severity,task,text,container,host,level,neid,process,service,system,time,timezone,type,userid
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T12:05:41.400505Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T11:55:41.397542Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T11:45:41.394337Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T11:35:41.32705Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T11:25:41.322946Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T11:15:41.315292Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T11:05:41.312555Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T10:55:41.308902Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T10:45:41.30378Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T10:35:41.301063Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T10:25:41.291673Z,CET,alarm,
